graf 1

Najmalo rastojanie od 0:
Do 0 e -4801
Do 1 e -4920
Do 2 e -4860
Do 3 e -4851
Do 4 e -4841
Do 5 e -4834
Do 6 e -4876
Do 7 e -4859
Do 8 e -4824
Do 9 e -4824
Do 10 e -4869
Do 11 e -4869
Do 12 e -4858
Do 13 e -4937
Do 14 e -4855
Do 15 e -4806
Do 16 e -4817
Do 17 e -4838
Do 18 e -4838
Do 19 e -4850
Do 20 e -4936
Do 21 e -4763
Do 22 e -4763
Do 23 e -4840
Do 24 e -4849
Do 25 e -4845
Do 26 e -4816
Do 27 e -4896
Do 28 e -4906
Do 29 e -4863
Do 30 e -4826
Do 31 e -4783
Do 32 e -4831
Do 33 e -4811
Do 34 e -4863
Do 35 e -4866
Do 36 e -4800
Do 37 e -4868
Do 38 e -4892
Do 39 e -4863
Do 40 e -4848
Do 41 e -4877
Do 42 e -4802
Do 43 e -4831
Do 44 e -4831
Do 45 e -4820
Do 46 e -4778
Do 47 e -4810
Do 48 e -4809
Do 49 e -4871

 Grafot sodrzi negativni ciklusi!


graf 2

Najmalo rastojanie od 0:
Do 0 e -5026
Do 1 e -5020
Do 2 e -5009
Do 3 e -5012
Do 4 e -5018
Do 5 e -4912
Do 6 e -5077
Do 7 e -5018
Do 8 e -4987
Do 9 e INF
Do 10 e -5002
Do 11 e -5058
Do 12 e -5015
Do 13 e -5060
Do 14 e -5050
Do 15 e -5055
Do 16 e -4993
Do 17 e -5100
Do 18 e -4935
Do 19 e -5075
Do 20 e -4936
Do 21 e -5071
Do 22 e -5061
Do 23 e -5012
Do 24 e -5057
Do 25 e -5004
Do 26 e -4984
Do 27 e -5055
Do 28 e -5054
Do 29 e -5007
Do 30 e -5038
Do 31 e -5006
Do 32 e -5014
Do 33 e -4964
Do 34 e -4997
Do 35 e -4967
Do 36 e -5029
Do 37 e -4992
Do 38 e -5051
Do 39 e -5011
Do 40 e -5024
Do 41 e -5001
Do 42 e -5027
Do 43 e -5054
Do 44 e -5062
Do 45 e -4982
Do 46 e -5042
Do 47 e -5001
Do 48 e -5041
Do 49 e -5034

 Grafot sodrzi negativni ciklusi!

graf 3

Najmalo rastojanie od 0:
Do 0 e 0
Do 1 e 29
Do 2 e 39
Do 3 e 73
Do 4 e 17
Do 5 e 49
Do 6 e 48
Do 7 e 71
Do 8 e 29
Do 9 e 4
Do 10 e 26
Do 11 e 78
Do 12 e 26
Do 13 e 54
Do 14 e 9
Do 15 e 11
Do 16 e 42
Do 17 e 46
Do 18 e 40
Do 19 e 13
Do 20 e 19
Do 21 e 15
Do 22 e 58
Do 23 e 101
Do 24 e 34
Do 25 e 22
Do 26 e 61
Do 27 e 44
Do 28 e 17
Do 29 e 38
Do 30 e 1
Do 31 e 51
Do 32 e 29
Do 33 e 40
Do 34 e 46
Do 35 e 45
Do 36 e 56
Do 37 e 40
Do 38 e 38
Do 39 e 37
Do 40 e 37
Do 41 e 41
Do 42 e 56
Do 43 e 72
Do 44 e 43
Do 45 e 24
Do 46 e 7
Do 47 e 81
Do 48 e 24
Do 49 e 40

graf 3

Najmalo rastojanie od 0:
Do 0 e 0
Do 1 e 68
Do 2 e 89
Do 3 e 76
Do 4 e 63
Do 5 e 51
Do 6 e 81
Do 7 e 72
Do 8 e 22
Do 9 e 66
Do 10 e 76
Do 11 e 66
Do 12 e 35
Do 13 e 68
Do 14 e 52
Do 15 e 62
Do 16 e 60
Do 17 e 84
Do 18 e 48
Do 19 e 57
Do 20 e 12
Do 21 e 38
Do 22 e INF
Do 23 e 64
Do 24 e 76
Do 25 e 100
Do 26 e 63
Do 27 e INF
Do 28 e 65
Do 29 e 46
Do 30 e 108
Do 31 e 96
Do 32 e 79
Do 33 e 88
Do 34 e 86
Do 35 e 41
Do 36 e INF
Do 37 e 101
Do 38 e 53
Do 39 e 57
Do 40 e 49
Do 41 e 55
Do 42 e 14
Do 43 e 47
Do 44 e 53
Do 45 e 103
Do 46 e 111
Do 47 e 85
Do 48 e 73
Do 49 e 114


Najmalo rastojanie od 0:
Do 0 e -8191
Do 1 e -8262
Do 2 e -8193
Do 3 e -8143
Do 4 e -8210
Do 5 e -8170
Do 6 e -8240
Do 7 e -8288
Do 8 e -8335
Do 9 e -8199
Do 10 e -8218
Do 11 e -8295
Do 12 e -8160
Do 13 e -8217
Do 14 e -8294
Do 15 e -8184
Do 16 e -8173
Do 17 e -8183
Do 18 e -8170
Do 19 e -8365
Do 20 e -8193
Do 21 e -8326
Do 22 e -8129
Do 23 e -8412
Do 24 e -8272
Do 25 e -8130
Do 26 e -8232
Do 27 e -8220
Do 28 e -8270
Do 29 e -8259
Do 30 e -8248
Do 31 e -8225
Do 32 e -8171
Do 33 e -8203
Do 34 e -8175
Do 35 e -8185
Do 36 e -8312
Do 37 e -8188
Do 38 e -8188
Do 39 e -8260
Do 40 e -8233
Do 41 e -8303
Do 42 e -8029
Do 43 e -8076
Do 44 e -8225
Do 45 e -8168
Do 46 e -8303
Do 47 e -8223
Do 48 e -8209
Do 49 e -8199

 Grafot sodrzi negativni ciklusi!


graf 5


Najmalo rastojanie od 0:
Do 0 e -8191
Do 1 e -8262
Do 2 e -8193
Do 3 e -8143
Do 4 e -8210
Do 5 e -8170
Do 6 e -8240
Do 7 e -8288
Do 8 e -8335
Do 9 e -8199
Do 10 e -8218
Do 11 e -8295
Do 12 e -8160
Do 13 e -8217
Do 14 e -8294
Do 15 e -8184
Do 16 e -8173
Do 17 e -8183
Do 18 e -8170
Do 19 e -8365
Do 20 e -8193
Do 21 e -8326
Do 22 e -8129
Do 23 e -8412
Do 24 e -8272
Do 25 e -8130
Do 26 e -8232
Do 27 e -8220
Do 28 e -8270
Do 29 e -8259
Do 30 e -8248
Do 31 e -8225
Do 32 e -8171
Do 33 e -8203
Do 34 e -8175
Do 35 e -8185
Do 36 e -8312
Do 37 e -8188
Do 38 e -8188
Do 39 e -8260
Do 40 e -8233
Do 41 e -8303
Do 42 e -8029
Do 43 e -8076
Do 44 e -8225
Do 45 e -8168
Do 46 e -8303
Do 47 e -8223
Do 48 e -8209
Do 49 e -8199

 Grafot sodrzi negativni ciklusi!


graf 6

Najmalo rastojanie od 0:
Do 0 e 0
Do 1 e 81
Do 2 e 103
Do 3 e 56
Do 4 e 40
Do 5 e 35
Do 6 e 68
Do 7 e 59
Do 8 e 66
Do 9 e 83
Do 10 e 30
Do 11 e 69
Do 12 e 53
Do 13 e 35
Do 14 e 50
Do 15 e 70
Do 16 e 70
Do 17 e 80
Do 18 e 41
Do 19 e 36
Do 20 e 86
Do 21 e 51
Do 22 e 43
Do 23 e 102
Do 24 e 79
Do 25 e 63
Do 26 e 15
Do 27 e 22
Do 28 e 100
Do 29 e 49
Do 30 e 31
Do 31 e 88
Do 32 e 39
Do 33 e INF
Do 34 e 136
Do 35 e INF
Do 36 e 46
Do 37 e 47
Do 38 e 28
Do 39 e 89
Do 40 e 47
Do 41 e 39
Do 42 e 20
Do 43 e 47
Do 44 e 61
Do 45 e 79
Do 46 e 51
Do 47 e 92
Do 48 e 110
Do 49 e 86

graf 7

Najmalo rastojanie od 0:
Do 0 e -5654
Do 1 e -5704
Do 2 e -5624
Do 3 e -5616
Do 4 e -5662
Do 5 e -5616
Do 6 e INF
Do 7 e -5595
Do 8 e -5599
Do 9 e -5589
Do 10 e -5574
Do 11 e -5681
Do 12 e -5569
Do 13 e -5645
Do 14 e -5631
Do 15 e -5602
Do 16 e -5640
Do 17 e -5563
Do 18 e -5593
Do 19 e -5690
Do 20 e -5641
Do 21 e -5614
Do 22 e -5658
Do 23 e -5537
Do 24 e -5559
Do 25 e -5639
Do 26 e -5643
Do 27 e -5635
Do 28 e -5586
Do 29 e -5645
Do 30 e -5652
Do 31 e -5670
Do 32 e -5531
Do 33 e -5640
Do 34 e -5622
Do 35 e -5581
Do 36 e -5638
Do 37 e -5685
Do 38 e -5525
Do 39 e -5579
Do 40 e -5709
Do 41 e -5631
Do 42 e -5570
Do 43 e -5624
Do 44 e -5591
Do 45 e -5607
Do 46 e -5616
Do 47 e -5592
Do 48 e -5625
Do 49 e -5614

 Grafot sodrzi negativni ciklusi!


graf 8

Najmalo rastojanie od 0:
Do 0 e -6489
Do 1 e -6596
Do 2 e -6408
Do 3 e -6550
Do 4 e -6474
Do 5 e -6538
Do 6 e -6539
Do 7 e -6531
Do 8 e INF
Do 9 e -6545
Do 10 e -6577
Do 11 e -6554
Do 12 e -6661
Do 13 e INF
Do 14 e -6544
Do 15 e -6583
Do 16 e -6617
Do 17 e INF
Do 18 e -6530
Do 19 e -6608
Do 20 e -6430
Do 21 e -6542
Do 22 e -6565
Do 23 e -6547
Do 24 e -6533
Do 25 e -6538
Do 26 e -6516
Do 27 e -6530
Do 28 e -6487
Do 29 e -6571
Do 30 e -6651
Do 31 e -6591
Do 32 e -6395
Do 33 e -6583
Do 34 e -6594
Do 35 e -6642
Do 36 e -6576
Do 37 e -6618
Do 38 e -6505
Do 39 e -6533
Do 40 e -6451
Do 41 e -6558
Do 42 e -6488
Do 43 e -6601
Do 44 e -6578
Do 45 e -6489
Do 46 e -6627
Do 47 e -6618
Do 48 e -6551
Do 49 e -6545

 Grafot sodrzi negativni ciklusi!


graf 9

Najmalo rastojanie od 0:
Do 0 e -7296
Do 1 e -7197
Do 2 e -7296
Do 3 e -7266
Do 4 e -7255
Do 5 e -7237
Do 6 e -7224
Do 7 e -7179
Do 8 e -7052
Do 9 e -7230
Do 10 e INF
Do 11 e -7187
Do 12 e -7226
Do 13 e -7132
Do 14 e -7150
Do 15 e -7268
Do 16 e -7232
Do 17 e -7256
Do 18 e -7217
Do 19 e -7227
Do 20 e -7231
Do 21 e -7159
Do 22 e -7110
Do 23 e -7172
Do 24 e -7249
Do 25 e -7325
Do 26 e -7193
Do 27 e -7096
Do 28 e -7256
Do 29 e -7232
Do 30 e -7277
Do 31 e -7212
Do 32 e -7187
Do 33 e -7227
Do 34 e -7249
Do 35 e -7167
Do 36 e -7147
Do 37 e -7140
Do 38 e -7236
Do 39 e -7227
Do 40 e -7317
Do 41 e INF
Do 42 e -7143
Do 43 e -7138
Do 44 e -7129
Do 45 e -7174
Do 46 e -7144
Do 47 e -7213
Do 48 e -7199
Do 49 e -7178

 Grafot sodrzi negativni ciklusi!


graf 10

Najmalo rastojanie od 0:
Do 0 e 0
Do 1 e -5262
Do 2 e -5357
Do 3 e -5381
Do 4 e -5190
Do 5 e -5237
Do 6 e -5302
Do 7 e -5310
Do 8 e -5268
Do 9 e -5310
Do 10 e -5291
Do 11 e -5338
Do 12 e -5251
Do 13 e -5131
Do 14 e -5229
Do 15 e -5272
Do 16 e -5260
Do 17 e -5241
Do 18 e -5212
Do 19 e -5154
Do 20 e -5139
Do 21 e -5221
Do 22 e -5287
Do 23 e -5265
Do 24 e -5260
Do 25 e -5237
Do 26 e -5276
Do 27 e -5163
Do 28 e -5228
Do 29 e -5326
Do 30 e -5239
Do 31 e -5232
Do 32 e -5307
Do 33 e -5250
Do 34 e -5253
Do 35 e -5259
Do 36 e -5254
Do 37 e -5300
Do 38 e -5242
Do 39 e -5236
Do 40 e -5307
Do 41 e -5262
Do 42 e -5241
Do 43 e -5279
Do 44 e -5262
Do 45 e -5370
Do 46 e -5287
Do 47 e -5339
Do 48 e -5265
Do 49 e -5254

 Grafot sodrzi negativni ciklusi!
